Owner,Repository name,Total PRs,Total reviews,Total files,Analysis time,Description,Interactions
ElemeFE,element,95,00000000000000000000000000000000000000000000000012112016111132111111001122100121127311111100310,28144685411941411199923865222931214111325118121241018579312132114332538221152312431411212113416111621311511,0.021052631578947368,21007,00110010231121021111114021010810111102212125512100000006000000000000000000000000000100000000000
Eugeny,tabby,89,00020000000200000000000000010000203000000000000000000000000000000000000000000000000000000,131161111231212113571131163116132173241511222122222222121112122112222121211111211111212222212,0.6179775280898876,171271,1002182122102101222100002020002020300453010000000002000000000000000000000000000000000000000
FortAwesome,Font-Awesome,16,0000000000000000,2814212416101952114,2.9375,2454,10103030035000174
FuelLabs,fuel-core,92,11145113183113611414521121411111111618143262117111138117112023113611121111854187170911221613122195111111152,1564110122317133512321921326253691117244631721187551823192765887522262212842963131246213124612117123441153211011427252261,6.989130434782608,19060,00140000201010015020000000000001012300310122110140000010040000072540212001010000100000000032
FuelLabs,sway,90,115000000004113113151101411522213757131325746131449193011112551114522691217121163221523183441118,481221756174016134221136421031112191751182202161342443255126994211112341336796061351014811121017392215125112481111922214137221453184,4.933333333333334,41201,0122010100000010000000010000001013000030000020810230000001000100020202000020012103005006001
Genymobile,scrcpy,22,0100000100002000000000,1311111111116111131121,0.45454545454545453,2628,3923000020134101563140
Hack-with-Github,Awesome-Hacking,30,0000010000001101112022000437110,213111111111111111121111111111,105.93333333333334,1877,010020011433014110004222343221
MunGell,awesome-for-beginners,70,0000000000000000000000000000000020000000000000001000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111,9.82857142857143,3057,1111113001111610117115112121115102190110112113111230211141241111121111
PanJiaChen,vue-element-admin,68,00000000000000000000000000000000000000000000000010000001000000000000,16922431111201102121313119112312110112033111123078921111591222301961935111173111146,5.029411764705882,1654,01000010000000010105011020150000210110000101101100020020100500000002
Significant-Gravitas,AutoGPT,46,010017111136016113124154321443231111083531256641,111211691221112121214311511941311211111113111111,2.152173913043478,12674,30000134214501530030211180024223250000150253112511
Snailclimb,JavaGuide,72,000000000000000000000001000000000000000000000000000000000000000000000000,111111141111111111221111111111111111111111111111111111111111111111111111,3.111111111111111,2186,020100001100000002110001100000000000000000000000000000000000000000000000
TheAlgorithms,Java,80,00000000001111101001112110000000000111011000211010000000000011101112101110100010,12131251212132121113012211111111111111111111111133111142212121121112231111111111111,2.95,6187,00000000100000000030010000000000000000001000201002400000110020010013000020100300
TheAlgorithms,Python,85,1000000000000000000000000000000000000000000000000000000012340010000000000111101113160,111226132111111911111111711111241111111112112111111113211111111131114112171111114211111,2.0470588235294116,6681,1100010710201200000000000000000000000000002000000000000000000100000500011010000000121
airbnb,javascript,61,0000000000001000000000000000000000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111,11.459016393442623,6882,1321121011111611112113211253111211112112122221131221121221112
alacritty,alacritty,62,0000000000020700200000800020304001311002533001029173110013003000050,51112131121161521111112111321117712823418183681422145283431111164,6.532258064516129,14509,11116132141813139111152631141316009141111492703331562370120146005362
angular,angular,54,000000000000000000000000000000000000000000000000000000,767624229199715122314827253775611111931181177101124088668671551421191,1.6481481481481481,7424,111231923481111317211311132113722211121312331232245635
angular,angular.js,21,000000000000000000000,25543201315212502041032290,0.8571428571428571,2451,0030020000000010010210
animate-css,animate.css,43,0000000000000000000000000000000000000000000,5153014111121216131121311235691141341312311111111,15.790697674418604,7231,11000110001002116102101420202185400000000002
ansible,ansible,70,0000000000000000000000000000000000000000000000000000000000000000000000,111541111114111111116113111133812272111411121411411211211131112121111211,0.08571428571428572,10480,0120100010110000000000303225043112110005212290015111110010311104211311
ant-design,ant-design,75,000000000000000000000000000000000000000000000000000000000000000000000000000,11137117121911439101534192528211131117171112610710137354111101111365739214112681562512412322,0.17333333333333334,1985,112100001000100102000210000001312111000810000430111000011100200110600000000
anuraghazra,github-readme-stats,80,100000000201800130010000071001300003003100070430001331002000000300250001000004000130,2212112113132118933117119114311812134221012141362110112251121271113111255662271211241,0.45,9114,0020100032109018200800116041311880102060410903221111155051164012900241719164212433175
apache,echarts,69,000000000000000000000000000000000000000000000000000000000000000000000,5037823317118512321262251611114867831010658391311423857213771111111111123111538593411411234411,0.4782608695652174,7473,000000000000000000100000002000000000000100030010213110000000000000000
apache,superset,98,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6219124564226516232767128199931137215410724391131146341273342563332732275121259591245614131122118794261247354910,0.17346938775510204,7624,00000000002001000100000002110000201010003110002000000000000001000210000000011010031000000000000000
apple,swift,78,100000000000000000000000000000000000000000000000000000000000000000000000000000,21321124428111211111111211112111121111111111111131111111111113011110111161111118215,1.3461538461538463,7310,4100201532322100004003250000000000000000402310000000001000000000000000000100100
